	BookTitle
1162	Solomon Gursky Was Here
1163	Sugar Blues
1164	Scarecrow
1165	Anvil of Stars
1166	The Bluest Eye
1167	The Valley of Horses
1168	Tiger Eyes
1169	Knowledge of Angels
1170	The Plains of Passage
1171	The Great Train Robbery
1172	Cold Sassy Tree
1173	Shiloh
1174	We All Fall Down
1175	The Glass Lake
1176	The Voyages of Doctor Dolittle
1177	Moon Tiger
1178	Snow Falling on Cedars
1179	Rocket Boys
1180	The Well of Loneliness
1181	Dead Man's Folly
1182	The Far Pavilions
1183	Katherine
1184	Mission of Gravity
1185	Archangel
1186	The Terminal Experiment
1187	The Three-Arched Bridge
1188	The War of the Flowers
1189	The Snow Queen
1190	The Trumpet of the Swan
1191	Invitation to the Game
1192	The Source of Magic
1193	Castle Roogna
1194	Atonement
1195	Foreign Affairs
1196	Rabbit Is Rich
1197	House Made of Dawn
1198	A Maggot
1199	Bag of Bones
1200	London Fields
1201	The Call of Earth
1202	The Talisman
1203	The Good Apprentice
1204	A Thousand Acres
1205	Ham on Rye
1206	Drowned Ammet
1207	Silverthorn
1208	The Island of the Day Before
1209	Dying Inside
1210	Breathing Lessons
1211	Kushiel's Dart
1212	The Gun Seller
1213	The Eagle of the Ninth
1214	American Empire: Blood and Iron
1215	Dirty White Boys
1216	The Seven Storey Mountain
1217	Bloom
1218	The Haunting of Hill House
1219	The Curse of Chalion
1220	Basket Case
1221	Bloodsucking Fiends
1222	Tietam Brown
1223	Death of a Red Heroine
1224	Pastwatch: The Redemption of Christopher Columbus
1225	The Weight of Water
1226	Flaubert's Parrot
1227	Lucky
1228	Disclosure
1229	Filth
1230	Molly Moon's Incredible Book of Hypnotism
1231	The Time Traveler's Wife
1232	Raise the Titanic
1233	A Bright Shining Lie: John Paul Vann and America in Vietnam
1234	Tom's Midnight Garden
1235	Superfudge
1236	Tales of a Fourth Grade Nothing
1237	The Color of Water: A Black Man's Tribute to His White Mother
1238	The Enormous Crocodile
